云南移动IPTV,#genre#
红河-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000089/93.m3u8
红河县,http://183.224.96.125:9000/TV/0/00000001000000050000000000000192/191.m3u8
湖北卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000039/35.m3u8
湖北卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000123/132.m3u8
湖南卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000013/19.m3u8
湖南卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000108/111.m3u8
吉林卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000059/60.m3u8
建水,http://183.224.96.125:9000/TV/0/00000001000000050000000000000167/166.m3u8
江苏卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000015/22.m3u8
江苏卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000105/114.m3u8
江西卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000037/39.m3u8
金平,http://183.224.43.183:8007/TV/0/00000001000000050000000000000130/125.m3u8
金鹰卡通,http://183.224.43.183:8007/TV/0/00000001000000050000000000000072/73.m3u8
开远,http://183.224.96.125:9000/TV/0/00000001000000050000000000000168/165.m3u8
昆明公共,http://183.224.43.183:8007/TV/0/00000001000000050000000000000058/59.m3u8
昆明教育,http://183.224.96.125:9000/TV/0/00000001000000050000000000000169/164.m3u8
昆明经济生活,http://183.224.43.183:8007/TV/0/00000001000000050000000000000032/26.m3u8
昆明科教,http://183.224.43.183:8007/TV/0/00000001000000050000000000000030/28.m3u8
昆明文娱,http://183.224.43.183:8007/TV/0/00000001000000050000000000000056/57.m3u8
昆明新闻综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000031/27.m3u8
昆明影视综艺,http://183.224.43.183:8007/TV/0/00000001000000050000000000000057/58.m3u8
兰坪,http://183.224.43.183:8007/TV/0/00000001000000050000000000000143/145.m3u8
澜沧,http://183.224.96.125:9000/TV/0/00000001000000050000000000000179/179.m3u8
丽江公共,http://183.224.43.183:8007/TV/0/00000001000000050000000000000101/97.m3u8
丽江新闻综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000100/98.m3u8
梁河,http://183.224.43.183:8007/TV/0/00000001000000050000000000000087/90.m3u8
辽宁卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000034/38.m3u8
辽宁卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000117/120.m3u8
临沧-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000098/100.m3u8
临沧-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000099/99.m3u8
临翔,http://183.224.43.183:8007/TV/0/00000001000000050000000000000133/139.m3u8
龙陵,http://183.224.96.125:9000/TV/0/00000001000000050000000000000176/175.m3u8
隆阳,http://183.224.96.125:9000/TV/0/00000001000000050000000000000193/190.m3u8
泸水,http://183.224.43.183:8007/TV/0/00000001000000050000000000000144/144.m3u8
泸西,http://183.224.43.183:8007/TV/0/00000001000000050000000000000131/124.m3u8
禄丰,http://183.224.96.125:9000/TV/0/00000001000000050000000000000185/188.m3u8
罗平,http://183.224.96.125:9000/TV/0/00000001000000050000000000000164/163.m3u8
绿春,http://183.224.96.125:9000/TV/0/00000001000000050000000000000171/169.m3u8
芒市,http://183.224.43.183:8007/TV/0/00000001000000050000000000000085/89.m3u8
孟连,http://183.224.96.125:9000/TV/0/00000001000000050000000000000198/195.m3u8
弥渡,http://183.224.96.125:9000/TV/0/00000001000000050000000000000162/161.m3u8
