云南移动IPTV,#genre#
农林卫视,http://39.130.206.132:6410/gitv_live/G_NONGLIN/G_NONGLIN.m3u8
康巴卫视,http://39.130.206.132:6410/gitv_live/G_KANGBA/G_KANGBA.m3u8
云南都市,http://39.130.206.132:6410/gitv_live/G_YNTV-2/G_YNTV-2.m3u8
云南娱乐,http://39.130.206.132:6410/gitv_live/G_YNTV-3/G_YNTV-3.m3u8
云南生活资讯,http://39.130.206.132:6410/gitv_live/G_YNTV-4/G_YNTV-4.m3u8
云南影视,http://39.130.206.132:6410/gitv_live/G_YNTV-5/G_YNTV-5.m3u8
云南公共,http://39.130.206.132:6410/gitv_live/G_YNTV-6/G_YNTV-6.m3u8
云南少儿,http://39.130.206.132:6410/gitv_live/G_YNTVSE/G_YNTVSE.m3u8
云南国际,http://39.130.206.132:6410/gitv_live/G_YNTVGJ/G_YNTVGJ.m3u8
云南移动电视,http://39.130.206.132:6410/gitv_live/G_QICAIGONGJIAO/G_QICAIGONGJIAO.m3u8
云南卫视,http://39.130.218.239:6610/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
云南娱乐,http://39.130.206.132:6410/gitv_live/G_YNTV-3-HD/G_YNTV-3-HD.m3u8
云南都市,http://39.130.206.132:6410/gitv_live/G_YNTV-2-HD/G_YNTV-2-HD.m3u8
云南生活,http://39.130.206.132:6410/gitv_live/G_YNTV-4-HD/G_YNTV-4-HD.m3u8
云南影视,http://39.130.206.132:6410/gitv_live/G_YNTV-5-HD/G_YNTV-5-HD.m3u8
云南公共,http://39.130.206.132:6410/gitv_live/G_YNTV-6-HD/G_YNTV-6-HD.m3u8
浙江移动,#genre#
CCTV1,http://112.17.40.140/PLTV/88888888/224/3221226154/index.m3u8
CCTV1,http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8
CCTV1,http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8
CCTV1,http://112.17.40.140/PLTV/88888888/224/3221226589/index.m3u8
CCTV1,http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8
CCTV1,http://112.17.40.140/PLTV/88888888/224/3221226589/index.m3u8
CCTV1,http://112.17.40.145/PLTV/88888888/224/3221226527/index.m3u8
CCTV1,http://112.17.40.145/PLTV/88888888/224/3221226589/index.m3u8
CCTV1,http://112.17.40.8:80/PLTV/88888888/224/3221226589/index.m3u8
CCTV2,http://112.17.40.145/PLTV/88888888/224/3221226138/index.m3u8
CCTV2,http://112.17.40.140/PLTV/88888888/224/3221226138/index.m3u8
CCTV2,http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8
CCTV2,http://112.17.40.145/PLTV/88888888/224/3221226468/index.m3u8
CCTV2,http://112.17.40.48:80/PLTV/88888888/224/3221226468/index.m3u8
CCTV2,http://112.17.40.8:80/PLTV/88888888/224/3221226468/index.m3u8
CCTV3,http://112.17.40.145/PLTV/88888888/224/3221226431/index.m3u8
CCTV3,http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8
CCTV3,http://112.17.40.145/PLTV/88888888/224/3221226485/index.m3u8
CCTV3,http://112.17.40.140/PLTV/88888888/224/3221226485/index.m3u8
CCTV3,http://112.17.40.8:80/PLTV/88888888/224/3221226485/index.m3u8
CCTV3,http://112.17.40.8:80/PLTV/88888888/224/3221226431/index.m3u8
CCTV4,http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8
CCTV4,http://112.17.40.7:80/PLTV/88888888/224/3221226562/index.m3u8
CCTV5,http://112.17.40.140/PLTV/88888888/224/3221226687/index.m3u8
CCTV5,http://112.17.40.140/PLTV/88888888/224/3221226400/index.m3u8
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226400/index.m3u8
CCTV5,http://112.17.40.140/PLTV/88888888/224/3221226328/index.m3u8
CCTV5,http://112.17.40.140/PLTV/88888888/224/3221226554/index.m3u8
CCTV5,http://112.17.40.140/PLTV/88888888/224/3221226556/index.m3u8
CCTV5,http://112.17.40.140/PLTV/88888888/224/3221226560/index.m3u8
CCTV5,http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226328/index.m3u8
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226554/index.m3u8
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226556/index.m3u8
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226562/index.m3u8
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226645/index.m3u8
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226649/index.m3u8
CCTV5+,http://112.17.40.145/PLTV/88888888/224/3221226406/index.m3u8
CCTV5+,http://112.17.40.43:80/PLTV/88888888/224/3221226406/index.m3u8
CCTV5+,http://112.17.40.140/PLTV/88888888/224/3221226406/index.m3u8
CCTV5+,http://112.17.40.140/PLTV/88888888/224/3221226166/index.m3u8
CCTV5+,http://112.17.40.145/PLTV/88888888/224/3221226166/index.m3u8
CCTV6,http://112.17.40.145/PLTV/88888888/224/3221226433/index.m3u8
CCTV6,http://112.17.40.145/PLTV/88888888/224/3221226487/index.m3u8
CCTV6,http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8
CCTV6,http://112.17.40.140/PLTV/88888888/224/3221226487/index.m3u8
CCTV6,http://112.17.40.48:80/PLTV/88888888/224/3221226433/1.m3u8
CCTV6,http://112.17.40.7:80/PLTV/88888888/224/3221226487/index.m3u8
CCTV7,http://112.17.40.7:80/PLTV/88888888/224/3221226122/index.m3u8
CCTV7,http://112.17.40.145/PLTV/88888888/224/3221226122/index.m3u8
CCTV7,http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8
CCTV7,http://112.17.40.140/PLTV/88888888/224/3221226470/index.m3u8
CCTV7,http://112.17.40.145/PLTV/88888888/224/3221226470/index.m3u8
CCTV7,http://112.17.40.7:80/PLTV/88888888/224/3221226470/index.m3u8
CCTV8,http://112.17.40.145/PLTV/88888888/224/3221226330/index.m3u8
CCTV8,http://112.17.40.145/PLTV/88888888/224/3221226493/index.m3u8
CCTV8,http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8
CCTV8,http://112.17.40.140/PLTV/88888888/224/3221226493/index.m3u8
CCTV8,http://112.17.40.8:80/PLTV/88888888/224/3221226493/index.m3u8
CCTV8,http://112.17.40.8:80/PLTV/88888888/224/3221226330/index.m3u8
CCTV9,http://112.17.40.8:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV9,http://112.17.40.48:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV9,http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8
CCTV9,http://112.17.40.145/PLTV/88888888/224/3221226156/index.m3u8
CCTV9,http://112.17.40.145/PLTV/88888888/224/3221226561/index.m3u8
CCTV9,http://112.17.40.140/PLTV/88888888/224/3221226561/index.m3u8
CCTV9,http://112.17.40.8:80/PLTV/88888888/224/3221226561/index.m3u8
CCTV10,http://112.17.40.48:80/PLTV/88888888/224/3221226199/index.m3u8
CCTV10,http://112.17.40.8:80/PLTV/88888888/224/3221226199/index.m3u8
CCTV10,http://112.17.40.145/PLTV/88888888/224/3221226199/index.m3u8
CCTV10,http://112.17.40.140/PLTV/88888888/224/3221226199/index.m3u8
CCTV10,http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8
CCTV10,http://112.17.40.8:80/PLTV/88888888/224/3221226472/index.m3u8
CCTV11,http://112.17.40.140/PLTV/88888888/224/3221226554/index.m3u8
CCTV11,http://112.17.40.140/PLTV/88888888/224/3221226560/index.m3u8
CCTV11,http://112.17.40.8:80/PLTV/88888888/224/3221226554/index.m3u8
CCTV11,http://112.17.40.8:80/PLTV/88888888/224/3221226560/index.m3u8
CCTV12,http://112.17.40.8:80/PLTV/88888888/224/3221226167/index.m3u8
CCTV12,http://112.17.40.140/PLTV/88888888/224/3221226167/index.m3u8
CCTV12,http://112.17.40.145/PLTV/88888888/224/3221226563/index.m3u8
CCTV12,http://112.17.40.140/PLTV/88888888/224/3221226563/index.m3u8
CCTV12,http://112.17.40.48:80/PLTV/88888888/224/3221226563/index.m3u8
CCTV14,http://112.17.40.8:80/PLTV/88888888/224/3221226126/index.m3u8
CCTV14,http://112.17.40.140/PLTV/88888888/224/3221226126/index.m3u8
CCTV14,http://112.17.40.145/PLTV/88888888/224/3221226126/index.m3u8
CCTV14,http://112.17.40.145/PLTV/88888888/224/3221226565/index.m3u8
CCTV14,http://112.17.40.140/PLTV/88888888/224/3221226565/index.m3u8
CCTV14,http://112.17.40.8:80/PLTV/88888888/224/3221226565/index.m3u8
安徽卫视,http://112.17.40.140/PLTV/88888888/224/3221226185/index.m3u8
安徽卫视,http://112.17.40.140/PLTV/88888888/224/3221226490/index.m3u8
安徽卫视,http://112.17.40.145/PLTV/88888888/224/3221226490/index.m3u8
北京卫视,http://112.17.40.140/PLTV/88888888/224/3221226164/index.m3u8
北京卫视,http://112.17.40.140/PLTV/88888888/224/3221226545/index.m3u8
北京卫视,http://112.17.40.140/PLTV/88888888/224/3221226583/index.m3u8
北京卫视,http://112.17.40.145/PLTV/88888888/224/3221226164/index.m3u8
北京卫视,http://112.17.40.145/PLTV/88888888/224/3221226545/index.m3u8
北京卫视,http://112.17.40.145/PLTV/88888888/224/3221226583/index.m3u8
东方卫视,http://112.17.40.140/PLTV/88888888/224/3221226142/index.m3u8
东方卫视,http://112.17.40.140/PLTV/88888888/224/3221226549/index.m3u8
东方卫视,http://112.17.40.140/PLTV/88888888/224/3221226581/index.m3u8
广东卫视,http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8
广东卫视,http://112.17.40.140/PLTV/88888888/224/3221226408/index.m3u8
广东卫视,http://112.17.40.140/PLTV/88888888/224/3221226585/index.m3u8
黑龙江卫视,http://112.17.40.140/PLTV/88888888/224/3221226201/index.m3u8
黑龙江卫视,http://112.17.40.140/PLTV/88888888/224/3221226492/index.m3u8
黑龙江卫视,http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8
黑龙江卫视,http://112.17.40.145/PLTV/88888888/224/3221226201/index.m3u8
黑龙江卫视,http://112.17.40.145/PLTV/88888888/224/3221226492/index.m3u8
黑龙江卫视,http://112.17.40.145/PLTV/88888888/224/3221226555/index.m3u8
湖北卫视,http://112.17.40.140/PLTV/88888888/224/3221226197/index.m3u8
湖北卫视,http://112.17.40.140/PLTV/88888888/224/3221226494/index.m3u8
湖北卫视,http://112.17.40.140/PLTV/88888888/224/3221226547/index.m3u8
湖北卫视,http://112.17.40.145/PLTV/88888888/224/3221226547/index.m3u8
湖南卫视,http://112.17.40.140/PLTV/88888888/224/3221226162/index.m3u8
湖南卫视,http://112.17.40.140/PLTV/88888888/224/3221226553/index.m3u8
湖南卫视,http://112.17.40.140/PLTV/88888888/224/3221226569/index.m3u8
湖南卫视,http://112.17.40.145/PLTV/88888888/224/3221226162/index.m3u8
江苏卫视,http://112.17.40.140/PLTV/88888888/224/3221226140/index.m3u8
江苏卫视,http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8
江苏卫视,http://112.17.40.140/PLTV/88888888/224/3221226567/index.m3u8
江苏卫视,http://112.17.40.145/PLTV/88888888/224/3221226414/index.m3u8
江苏卫视,http://112.17.40.145/PLTV/88888888/224/3221226567/index.m3u8
江西卫视,http://112.17.40.140/PLTV/88888888/224/3221226557/index.m3u8
江西卫视,http://112.17.40.8:80/PLTV/88888888/224/3221226128/index.m3u8
江西卫视,http://112.17.40.8:80/PLTV/88888888/224/3221226557/index.m3u8
辽宁卫视,http://112.17.40.140/PLTV/88888888/224/3221226148/index.m3u8
辽宁卫视,http://112.17.40.145/PLTV/88888888/224/3221226148/index.m3u8
辽宁卫视,http://112.17.40.8:80/PLTV/88888888/224/3221226148/index.m3u8
山东卫视,http://112.17.40.140/PLTV/88888888/224/3221226144/index.m3u8
山东卫视,http://112.17.40.140/PLTV/88888888/224/3221226410/index.m3u8
山东卫视,http://112.17.40.140/PLTV/88888888/224/3221226587/index.m3u8
山东卫视,http://112.17.40.145/PLTV/88888888/224/3221226144/index.m3u8
山东卫视,http://112.17.40.145/PLTV/88888888/224/3221226587/index.m3u8
深圳卫视,http://112.17.40.140/PLTV/88888888/224/3221226203/index.m3u8
深圳卫视,http://112.17.40.140/PLTV/88888888/224/3221226486/index.m3u8
深圳卫视,http://112.17.40.140/PLTV/88888888/224/3221226543/index.m3u8
天津卫视,http://112.17.40.140/PLTV/88888888/224/3221226182/index.m3u8
天津卫视,http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8
天津卫视,http://112.17.40.140/PLTV/88888888/224/3221226488/index.m3u8
天津卫视,http://112.17.40.145/PLTV/88888888/224/3221226182/index.m3u8
天津卫视,http://112.17.40.145/PLTV/88888888/224/3221226412/index.m3u8
天津卫视,http://112.17.40.145/PLTV/88888888/224/3221226488/index.m3u8
浙江卫视,http://112.17.40.140/PLTV/88888888/224/3221226136/index.m3u8
浙江卫视,http://112.17.40.140/PLTV/88888888/224/3221226474/index.m3u8
浙江卫视,http://112.17.40.140/PLTV/88888888/224/3221226551/index.m3u8
浙江卫视,http://112.17.40.145/PLTV/88888888/224/3221226136/index.m3u8
浙江卫视,http://112.17.40.145/PLTV/88888888/224/3221226551/index.m3u8
重庆卫视,http://112.17.40.140/PLTV/88888888/224/3221226217/index.m3u8
重庆卫视,http://112.17.40.7:80/PLTV/88888888/224/3221226217/index.m3u8
浙江地方台,#genre#
浙江国际频道＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
浙江钱江都市频道＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江经济生活频道＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江科技教育频道＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江影视娱乐频道＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江民生休闲频道＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江国际新闻频道＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江少儿频道＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江留学频道＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江卫视台＜超清＞1080p,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
蜀小果直播源,#genre#
CCTV1,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV2,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-2H265_4000.m3u8
CCTV3,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-3H265_4000.m3u8
CCTV4,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV5,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV5+,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-5plusH265_4000.m3u8
CCTV6,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-6H265_4000.m3u8
CCTV7,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-7H265_4000.m3u8
CCTV8,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-8H265_4000.m3u8
CCTV9,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-9H265_4000.m3u8
CCTV10,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-10H265_4000.m3u8
CCTV11,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-11-H265_4000.m3u8
CCTV12,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-12H265_4000.m3u8
CCTV13,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-xw_4000.m3u8
CCTV14,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-14H265_4000.m3u8
CCTV15,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-15-yyH265_4000.m3u8
CCTV17,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-17_4000.m3u8
CCTV风云音乐,http://111.6.169.89/live.rxip.sc96655.com/live/fyyy_4000.m3u8
CCTV风云剧场,http://111.6.169.89/live.rxip.sc96655.com/live/fyjc_2000.m3u8
CCTV风云足球,http://111.6.169.89/live.rxip.sc96655.com/live/fyzq_2000.m3u8
CCTV怀旧剧场,http://111.6.169.89/live.rxip.sc96655.com/live/hjjc_2000.m3u8
CCTV第一剧场,http://111.6.169.89/live.rxip.sc96655.com/live/dyjc_2000.m3u8
CCTV世界地理,http://111.6.169.89/live.rxip.sc96655.com/live/sjdl_4000.m3u8
CCTV兵器科技,http://111.6.169.89/live.rxip.sc96655.com/live/gfjs_4000.m3u8
CCTV女性时尚,http://111.6.169.89/live.rxip.sc96655.com/live/nxss_4000.m3u8
CCTV央视台球,http://111.6.169.89/live.rxip.sc96655.com/live/ystq_4000.m3u8
中央新影-中学生,http://111.6.169.89/live.rxip.sc96655.com/live/zxs_4000.m3u8
CETV1,http://111.6.169.89/live.rxip.sc96655.com/live/CETV-1H264_4000.m3u8
CETV早期教育,http://111.6.169.89/live.rxip.sc96655.com/live/zqjy_4000.m3u8
CHC高清电影,http://111.6.169.89/live.rxip.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8
CHC家庭影院,http://111.6.169.89/live.rxip.sc96655.com/live/jbtygqCHCjtyyH265_4000.m3u8
CHC动作电影,http://111.6.169.89/live.rxip.sc96655.com/live/gef.wqCHCdzdyH265_4000.m3u8
北京卫视,http://111.6.169.89/live.rxip.sc96655.com/live/bjwsH265_4000.m3u8
东方卫视,http://111.6.169.89/live.rxip.sc96655.com/live/dfwsH265_4000.m3u8
天津卫视,http://111.6.169.89/live.rxip.sc96655.com/live/tjwsH265_4000.m3u8
重庆卫视,http://111.6.169.89/live.rxip.sc96655.com/live/cqwsH265_4000.m3u8
黑龙江卫视,http://111.6.169.89/live.rxip.sc96655.com/live/hljwsH265_4000.m3u8
吉林卫视,http://111.6.169.89/live.rxip.sc96655.com/live/jlwsH265_4000.m3u8
内蒙古卫视,http://111.6.169.89/live.rxip.sc96655.com/live/nmgws_4000.m3u8
甘肃卫视,http://111.6.169.89/live.rxip.sc96655.com/live/gsws_4000.m3u8
青海卫视,http://111.6.169.89/live.rxip.sc96655.com/live/qhwsH264_2000.m3u8
陕西卫视,http://111.6.169.89/live.rxip.sc96655.com/live/sxws_4000.m3u8
山西卫视,http://111.6.169.89/live.rxip.sc96655.com/live/sxws42_4000.m3u8
山东卫视,http://111.6.169.89/live.rxip.sc96655.com/live/sdwsH265_4000.m3u8
安徽卫视,http://111.6.169.89/live.rxip.sc96655.com/live/ahwsH265_4000.m3u8
河南卫视,http://111.6.169.89/live.rxip.sc96655.com/live/hnws35_4000.m3u8
湖北卫视,http://111.6.169.89/live.rxip.sc96655.com/live/hbwsH265_4000.m3u8
湖南卫视,http://111.6.169.89/live.rxip.sc96655.com/live/hnwsH265_4000.m3u8
江西卫视,http://111.6.169.89/live.rxip.sc96655.com/live/jxwsH265_4000.m3u8
江苏卫视,http://111.6.169.89/live.rxip.sc96655.com/live/jswsH265_4000.m3u8
浙江卫视,http://111.6.169.89/live.rxip.sc96655.com/live/zjwsH265_4000.m3u8
东南卫视,http://111.6.169.89/live.rxip.sc96655.com/live/dnwsfjwsH265_4000.m3u8
广东卫视,http://111.6.169.89/live.rxip.sc96655.com/live/gdwsH265_4000.m3u8
深圳卫视,http://111.6.169.89/live.rxip.sc96655.com/live/szwsH265_4000.m3u8
广西卫视,http://111.6.169.89/live.rxip.sc96655.com/live/gxws_4000.m3u8
云南卫视,http://111.6.169.89/live.rxip.sc96655.com/live/ynws_4000.m3u8
贵州卫视,http://111.6.169.89/live.rxip.sc96655.com/live/gzwsH265_4000.m3u8
四川卫视,http://111.6.169.89/live.rxip.sc96655.com/live/scwsH265_4000.m3u8
康巴卫视,http://111.6.169.89/live.rxip.sc96655.com/live/kbwsH264_2000.m3u8
兵团卫视,http://111.6.169.89/live.rxip.sc96655.com/live/btws_4000.m3u8
西藏卫视,http://111.6.169.89/live.rxip.sc96655.com/live/xzwsH264_2000.m3u8
海南卫视,http://111.6.169.89/live.rxip.sc96655.com/live/hnws_4000.m3u8
四海钓鱼,http://111.6.169.89/live.rxip.sc96655.com/live/shdy_4000.m3u8
快乐垂钓,http://111.6.169.89/live.rxip.sc96655.com/live/fyzqklcdHDH265_4000.m3u8
家庭理财,http://111.6.169.89/live.rxip.sc96655.com/live/jtlc_4000.m3u8
全纪实,http://111.6.169.89/live.rxip.sc96655.com/live/qjs-HDH265_4000.m3u8
生活时尚,http://111.6.169.89/live.rxip.sc96655.com/live/shssH265_4000.m3u8
魅力足球,http://111.6.169.89/live.rxip.sc96655.com/live/mlyy_4000.m3u8
极速汽车,http://111.6.169.89/live.rxip.sc96655.com/live/jsqcH265_4000.m3u8
动漫秀场,http://111.6.169.89/live.rxip.sc96655.com/live/yybb-dmxc-H265_4000.m3u8
都市剧场,http://111.6.169.89/live.rxip.sc96655.com/live/yxfydsjcHDH265_4000.m3u8
新视觉,http://111.6.169.89/live.rxip.sc96655.com/live/ycxsjH265_4000.m3u8
劲爆体育,http://111.6.169.89/live.rxip.sc96655.com/live/lqhxjcHDH265_4000.m3u8
先锋乒羽,http://111.6.169.89/live.rxip.sc96655.com/live/xfpy_4000.m3u8
金鹰卡通,http://111.6.169.89/live.rxip.sc96655.com/live/jykt_2000.m3u8
嘉佳卡通,http://111.6.169.89/live.rxip.sc96655.com/live/jjkt_2000.m3u8
环球奇观,http://111.6.169.89/live.rxip.sc96655.com/live/hqqg_4000.m3u8
梨园频道,http://111.6.169.89/live.rxip.sc96655.com/live/ly_4000.m3u8
武术世界,http://111.6.169.89/live.rxip.sc96655.com/live/wssj_4000.m3u8
书画频道,http://111.6.169.89/live.rxip.sc96655.com/live/sh_4000.m3u8
北京冬奥纪实,http://111.6.169.89/live.rxip.sc96655.com/live/bjjs_2000.m3u8
天元围棋,http://111.6.169.89/live.rxip.sc96655.com/live/tywq_2000.m3u8
摄影频道,http://111.6.169.89/live.rxip.sc96655.com/live/sy_4000.m3u8
山东教育卫视,http://111.6.169.89/live.rxip.sc96655.com/live/sdjy_4000.m3u8
四川卫视,http://111.6.169.89/live.rxip.sc96655.com/live/scwsH265_4000.m3u8
康巴卫视,http://111.6.169.89/live.rxip.sc96655.com/live/kbwsH264_2000.m3u8
四川文化旅游,http://111.6.169.89/live.rxip.sc96655.com/live/SCTV-2-H265_4000.m3u8
四川经济,http://111.6.169.89/live.rxip.sc96655.com/live/SCTV-3-H265_4000.m3u8
四川新闻资讯,http://111.6.169.89/live.rxip.sc96655.com/live/SCTV-4H265_4000.m3u8
四川影视,http://111.6.169.89/live.rxip.sc96655.com/live/SCTV-5-scysH265_4000.m3u8
四川妇女儿童,http://111.6.169.89/live.rxip.sc96655.com/live/SCTV-7-_4000.m3u8
四川科教,http://111.6.169.89/live.rxip.sc96655.com/live/SCTV-ggSCTV-8_4000.m3u8
四川公共,http://111.6.169.89/live.rxip.sc96655.com/live/SCTV-kjSCTV-9-_4000.m3u8
四川峨嵋电影,http://111.6.169.89/live.rxip.sc96655.com/live/emdygqH265_4000.m3u8
成都新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/CDTV-1_4000.m3u8
成都经济资讯,http://111.6.169.89/live.rxip.sc96655.com/live/CDTV-2_4000.m3u8
成都都市生活,http://111.6.169.89/live.rxip.sc96655.com/live/CDTV-3_4000.m3u8
成都影视文艺,http://111.6.169.89/live.rxip.sc96655.com/live/CDTV-4_4000.m3u8
成都公共,http://111.6.169.89/live.rxip.sc96655.com/live/CDTV-5_4000.m3u8
大邑新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/dyytH265_4000.m3u8
龙泉综合,http://111.6.169.89/live.rxip.sc96655.com/live/lqxw_2000.m3u8
都江堰综合,http://111.6.169.89/live.rxip.sc96655.com/live/djyzh_4000.m3u8
彭州综合,http://111.6.169.89/live.rxip.sc96655.com/live/pzxwzh_2000.m3u8
青白江综合,http://111.6.169.89/live.rxip.sc96655.com/live/qbjxwzh_2000.m3u8
金堂电视台,http://111.6.169.89/live.rxip.sc96655.com/live/jtzhpd_2000.m3u8
新都综合,http://111.6.169.89/live.rxip.sc96655.com/live/xdzhpd_2000.m3u8
罗江综合,http://111.6.169.89/live.rxip.sc96655.com/live/ljxwzh_2000.m3u8
中江新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/zjxwzh_2000.m3u8
广汉综合,http://111.6.169.89/live.rxip.sc96655.com/live/ghxwzh_2000.m3u8
绵竹综合,http://111.6.169.89/live.rxip.sc96655.com/live/mzxwzh_2000.m3u8
绵阳新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/myytH265_4000.m3u8
绵阳公共,http://111.6.169.89/live.rxip.sc96655.com/live/myetH265_4000.m3u8
雅安新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/yazh_2000.m3u8
雅安公共,http://111.6.169.89/live.rxip.sc96655.com/live/yagg_2000.m3u8
宝兴综合,http://111.6.169.89/live.rxip.sc96655.com/live/bxdst_2000.m3u8
汉源综合,http://111.6.169.89/live.rxip.sc96655.com/live/hyxwzh_2000.m3u8
天泉新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/tqzh_2000.m3u8
乐山新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/lsxwzh_4000.m3u8
乐山公共,http://111.6.169.89/live.rxip.sc96655.com/live/lsggpd_4000.m3u8
沙湾融媒,http://111.6.169.89/live.rxip.sc96655.com/live/swxwzh_2000.m3u8
五通桥综合,http://111.6.169.89/live.rxip.sc96655.com/live/wtqxwzh_2000.m3u8
金口河综合,http://111.6.169.89/live.rxip.sc96655.com/live/jkhdst_2000.m3u8
沐川综合,http://111.6.169.89/live.rxip.sc96655.com/live/mcxw_2000.m3u8
夹江新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/jjxw_2000.m3u8
峨眉综合,http://111.6.169.89/live.rxip.sc96655.com/live/emsxw_2000.m3u8
犍为新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/qwxwzh_2000.m3u8
井研新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/jyxwzh_2000.m3u8
马边综合,http://111.6.169.89/live.rxip.sc96655.com/live/mbxwzh_2000.m3u8
南溪综合,http://111.6.169.89/live.rxip.sc96655.com/live/nxt_2000.m3u8
珙县新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/gxzh_2000.m3u8
兴文电视台,http://111.6.169.89/live.rxip.sc96655.com/live/xwt_2000.m3u8
利州综合,http://111.6.169.89/live.rxip.sc96655.com/live/lzxwzh_2000.m3u8
泸州公共,http://111.6.169.89/live.rxip.sc96655.com/live/lzgg_2000.m3u8
广元综合,http://111.6.169.89/live.rxip.sc96655.com/live/gyzhH265_4000.m3u8
广元公共,http://111.6.169.89/live.rxip.sc96655.com/live/gyggH265_4000.m3u8
巴中综合,http://111.6.169.89/live.rxip.sc96655.com/live/bzzhH265_4000.m3u8
巴中公共,http://111.6.169.89/live.rxip.sc96655.com/live/bzggH265_4000.m3u8
巴州电视,http://111.6.169.89/live.rxip.sc96655.com/live/bzxw_4000.m3u8
恩阳新闻,http://111.6.169.89/live.rxip.sc96655.com/live/eyxw_2000.m3u8
平昌新闻综合,http://111.6.169.89/live.rxip.sc96655.com/live/pcxw_2000.m3u8
南江电视台,http://111.6.169.89/live.rxip.sc96655.com/live/njxw_2000.m3u8
